Car,Model,Mode,Driven (km),Fuel,Horse Power,Location,Price (Rs : lacs)
Honda City 5th Generation 2013 1.3 i-VTEC ,2020,Automatic,"14,000",Petrol,1000,Lahore,PKR 40 lacs
Toyota Surf  1996 SSR-G 3.0D ,2016,Automatic,"147,000",Petrol,1800,Lahore,PKR 46 lacs
Toyota Corolla  2019 GLi 1.3 VVTi ,2018,Automatic,"38,000",Hybrid,1500,Lahore,PKR 75.95 lacs
Changan Karvaan  2021 Plus ,2017,Automatic,"42,000",Petrol,2700,Lahore,PKR 2.65 crore
Honda Civic  2017 Oriel 1.8 i-VTEC CVT ,2020,Automatic,"86,000",Petrol,1800,Lahore,PKR 61 lacs
Toyota Corolla Indus 1996 SE Limited ,2020,Automatic,"36,953",Petrol,660,Lahore,PKR 34.2 lacs
Toyota Surf  2009 SSR-X 2.7 ,2017,Automatic,"75,557",Hybrid,1500,Lahore,PKR 47.55 lacs
Suzuki Mehran  2015 VX Euro II ,2009,Automatic,"161,000",Petrol,1800,Lahore,PKR 27.5 lacs
Toyota Corolla  2012 GLi 1.3 VVTi Ecotec  ,2017,Automatic,"57,000",Petrol,1800,Lahore,PKR 46.5 lacs
Honda Civic  2019 Oriel 1.8 i-VTEC CVT ,2021,Automatic,"41,000",Petrol,1800,Lahore,PKR 64.2 lacs
Toyota Corolla  2015 GLi Automatic 1.3 VVTi ,2015,Automatic,"77,000",Petrol,659,Lahore,PKR 24.5 lacs
Suzuki Swift  2015 DX 1.3 ,2007,Manual,"166,000",Petrol,1300,Lahore,PKR 23 lacs
Toyota Hilux  2022 Revo Rocco ,2015,Automatic,"170,000",Petrol,1600,Lahore,PKR 36 lacs
Nissan Dayz  2023 Highway star S hybrid X pro pilot ,2022,Automatic,"11,000",Petrol,660,Lahore,PKR 36.5 lacs
Suzuki Wagon R  2020 Hybrid FX ,2018,Automatic,"38,466",Petrol,2700,Lahore,PKR 2.98 crore
MG HS  2021 1.5 Turbo ,2008,Automatic,"200,000",Petrol,1800,Lahore,PKR 18.95 lacs
Honda Vezel  2016 Hybrid RS Honda Sensing  ,2020,Automatic,"78,000",Petrol,1800,Lahore,PKR 60 lacs
Toyota Coro,2022,Automatic,"29,500",Petrol,1200,Lahore,PKR 68.5 lacs
Mercedes Benz C Cl,2019,Automatic,"27,000",Hybrid,1500,Lahore,PKR 75 lacs
Honda Ci,2020,Automatic,"20,000",Petrol,660,Lahore,PKR 33.5 lacs
Suzuki Wago,2006,Manual,"179,000",Petrol,1300,Lahore,PKR 16.5 lacs
Hyundai Tuc,2009,Automatic,"110,000",Hybrid,1800,Lahore,PKR 42.5 lacs
Toyota Corolla A,2011,Automatic,"129,000",Petrol,1800,Lahore,PKR 39.5 lacs
KIA Sport,2016,Manual,"65,000",Petrol,1000,Lahore,PKR 23.5 lacs
Toyota V,2012,Automatic,"125,000",Petrol,1500,Lahore,PKR 35 lacs
MG,2020,Automatic,"7,000",Petrol,1000,Lahore,PKR 50 lacs
Honda Civic Reborn 2012 VTi Oriel Prosmatec 1.8 i-VTEC ,2020,Automatic,"12,000",Petrol,1300,Lahore,PKR 55.5 lacs
Audi A6 4th (C7) Generation 2015 1.8 TFSI Business Class Edition ,2020,Automatic,"17,000",Petrol,996,Lahore,PKR 73.5 lacs
Toyota Prado  2016 TX L Package 2.7 ,2020,Automatic,"47,000",Electric,60.0,Lahore,PKR 1.99 crore
Toyota Hilux  2022 Revo V Automatic 2.8 ,2014,Manual,"70,000",Petrol,1000,Lahore,PKR 13.65 lacs
Toyota Prado  2017 TX L Package 2.7 ,2018,Automatic,"70,000",Petrol,1300,Lahore,PKR 36.5 lacs
Toyota Prado  2017 TX Limited 2.7 ,2011,Automatic,"120,000",Petrol,1600,Lahore,PKR 34 lacs
Toyota Prius  2020 S Touring Selection ,2016,Automatic,"87,000",Hybrid,1500,Lahore,PKR 62.5 lacs
Toyota Hilux  2017 Revo V Automatic 3.0  ,2008,Automatic,"112,000",Petrol,660,Lahore,PKR 15.3 lacs
Honda Civic  2018 Oriel 1.8 i-VTEC CVT ,2020,Automatic,"4,000",Petrol,660,Lahore,PKR 34.5 lacs
Hyundai Santro  2004 Club ,2020,Automatic,"16,000",Hybrid,660,Lahore,PKR 34.5 lacs
Daihatsu Esse  2011 X Special ,2018,Automatic,"55,000",Petrol,1500,Lahore,PKR 82.5 lacs
Toyota Prius  2024  ,2019,Automatic,"39,000",Hybrid,1198,Lahore,PKR 48 lacs
Toyota Prado  1995 TX 3.0D ,2016,Automatic,"71,000",Hybrid,1500,Lahore,PKR 58.75 lacs
Toyota Corolla  2015 GLi 1.3 VVTi ,2020,Automatic,"14,000",Petrol,1500,Lahore,PKR 98 lacs
Honda Civic  2008 VTi Prosmatec 1.8 i-VTEC ,2019,Automatic,"32,000",Hybrid,1500,Lahore,PKR 87.35 lacs
Toyota Corolla  1985 DX ,2018,Automatic,"16,761",Petrol,1500,Lahore,PKR 79 lacs
Haval H6  2024 HEV ,2012,Automatic,"85,000",Petrol,660,Lahore,PKR 21 lacs
Toyota Yaris  2021 GLI CVT 1.3 ,by,Petrol,PakWheels,2014,"116,050",Managed,PKR 36.5 lacs
Toyota Land Cruiser  2009 ZX ,by,Petrol,PakWheels,2022,"20,778",Managed,PKR 61 lacs
Toyota Surf  1998  ,2018,Automatic,"27,000",Petrol,1197,Lahore,PKR 82 lacs
Changan Alsvin  2022 1.5L DCT Lumiere ,2014,Automatic,"89,000",Petrol,2700,Lahore,PKR 77 lacs
Toyota Yaris  2021 ATIV X CVT 1.5 ,2007,Automatic,"92,590",Petrol,1800,Lahore,PKR 38.5 lacs
Honda Thats  2007 Item ,2020,Automatic,"58,000",Petrol,2000,Lahore,PKR 70 lacs
Honda City  2018 1.3 i-VTEC ,2022,Automatic,"9,000",Petrol,1200,Lahore,PKR 45.5 lacs
Toyota Corolla 9th Generation 2002 SE Saloon ,2019,Automatic,"160,000",Petrol,1300,Lahore,PKR 44 lacs
Honda Civic 11th Generation 2023 RS ,2021,Automatic,"34,000",Petrol,1500,Lahore,PKR 55.5 lacs
Toyota Hilux  2023 Revo Rocco ,2018,Automatic,"100,000",Petrol,1300,Lahore,PKR 33.5 lacs
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior ,2021,Automatic,"50,000",Petrol,1500,Lahore,PKR 57 lacs
Toyota Hilux  2021 Revo V Automatic 2.8 ,2019,Automatic,"55,000",Petrol,1500,Lahore,PKR 50 lacs
Toyota Corolla  2020 Altis Grande CVT-i 1.8 ,2004,Manual,"140,000",Petrol,1600,Lahore,PKR 14.1 lacs
Honda Civic 11th Generation 2022 Oriel ,2022,Automatic,"38,200",Petrol,1500,Lahore,PKR 53 lacs
Daihatsu Charade  1986 CX ,2015,Manual,"65,000",Petrol,796,Lahore,PKR 10.45 lacs
Toyota Prado  2011 TX 2.7 ,2018,Automatic,"100,000",Petrol,660,Lahore,PKR 18 lacs
Honda Fit  2016 1.5 Hybrid S Package ,by,Petrol,PakWheels,2017,"31,625",Managed,PKR 28 lacs
Toyota Prado  2018 TX L Package 2.7 ,by,Petrol,PakWheels,2020,"94,555",Managed,PKR 27 lacs
KIA Sportage  2020 AWD ,2018,Automatic,"48,400",Hybrid,1500,Lahore,PKR 83.9 lacs
Honda City 5th Generation 2021 Aspire Prosmatec 1.5 i-VTEC ,2022,Automatic,"22,000",Petrol,3500,Lahore,PKR 1.42 crore
Toyota Coro,1981,Manual,"65,000",Petrol,1300,Lahore,PKR 6.7 lacs
Mercedes Benz C Cl,2009,Manual,"95,000",Petrol,800,Lahore,PKR 7.35 lacs
Honda Ci,2020,Automatic,"18,500",Petrol,1000,Lahore,PKR 42.5 lacs
Suzuki Wago,2023,Automatic,"13,000",Petrol,2500,Lahore,PKR 1.05 crore
Hyundai Tuc,2007,Automatic,"131,933",Petrol,1500,Lahore,PKR 32.85 lacs
Toyota Corolla A,2018,Automatic,"69,837",Hybrid,1800,Lahore,PKR 85.9 lacs
KIA Sport,2018,Manual,"116,000",Petrol,1000,Lahore,PKR 19.75 lacs
Toyota V,2013,Automatic,"100,000",Petrol,1800,Lahore,PKR 35 lacs
MG,2020,Automatic,"12,000",Petrol,1000,Lahore,PKR 43.75 lacs
Toyota Passo  2020 X S  ,2015,Manual,"99,000",Petrol,796,Lahore,PKR 10.95 lacs
Toyota Corolla  2016 Altis Grande CVT-i 1.8 ,2018,Automatic,"138,000",Hybrid,1800,Lahore,PKR 88.75 lacs
Honda Vezel  2018 Hybrid Z ,by,Petrol,PakWheels,2015,"122,870",Managed,PKR 1.1 crore
Toyota Prado  2017 TX 2.7 ,2019,Automatic,"48,000",Petrol,660,Lahore,PKR 31.75 lacs
Toyota Corolla  2020 Altis Grande CVT-i 1.8 ,2023,Automatic,"17,000",Diesel,2800,Lahore,PKR 1.93 crore
Daihatsu Mira  2020 X SA lll ,2021,Automatic,"30,000",Petrol,1800,Lahore,PKR 63.5 lacs
Toyota Aqua  2017 G LED Soft Leather Selection  ,2020,Manual,"19,500",Petrol,1300,Lahore,PKR 36.8 lacs
Honda Civic Reborn 2009 VTi Oriel Prosmatec 1.8 i-VTEC ,2020,Manual,"60,000",Petrol,1300,Lahore,PKR 36.5 lacs
Toyota Corolla  2017 Altis CVT-i 1.8 ,2017,Automatic,"75,000",Petrol,4600,Lahore,PKR 4.25 crore
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior ,2022,Automatic,"17,440",Petrol,1500,Lahore,PKR 69.95 lacs
Nissan Dayz  2015 Highway star G ,2008,Automatic,"135,000",Petrol,4600,Lahore,PKR 1.8 crore
Honda City  2007 i-DSI ,by,Petrol,PakWheels,2017,"102,872",Managed,PKR 27 lacs
Toyota Corolla  2015 Altis Automatic 1.6 ,2010,Automatic,"174,000",Petrol,660,Lahore,PKR 17.45 lacs
Subaru Stella  2022  ,2022,Automatic,"9,019",Hybrid,660,Lahore,PKR 39.5 lacs
Toyota Prado  2018 TX L Package 2.7 ,2012,Automatic,"168,684",Petrol,1000,Lahore,Call
Honda Civic  2008 VTi Oriel Prosmatec 1.8 i-VTEC ,2022,Automatic,"18,000",Petrol,1400,Lahore,PKR 60 lacs
Toyota Corolla  2020 Altis Grande CVT-i 1.8 ,2019,Automatic,"79,652",Petrol,660,Lahore,PKR 31.9 lacs
Peugeot 2008  2022 Allure ,2020,Automatic,"23,942",Petrol,658,Lahore,PKR 35.9 lacs
KIA Niro  2019  ,by,Petrol,PakWheels,2021,"48,790",Managed,PKR 26.5 lacs
Daihatsu Cast  2020 Activa G SA III ,2018,Automatic,"50,202",Hybrid,1800,Lahore,PKR 86.9 lacs
Honda City  2006  ,2005,Manual,"90,000",Petrol,800,Lahore,PKR 5.5 lacs
Ford Other  2009  ,2021,Automatic,"52,000",Petrol,1800,Lahore,PKR 65.25 lacs
Toyota Prius  2011 S LED Edition 1.8 ,2023,Automatic,54,Hybrid,660,Lahore,PKR 45.5 lacs
Suzuki Wagon R  2016 VXL ,2022,Manual,"32,000",Petrol,1200,Lahore,PKR 41 lacs
Toyota Aqua  2012  ,2022,Automatic,"19,000",Petrol,1200,Lahore,PKR 44.95 lacs
Toyota Yaris Hatchback  2020  ,2022,Automatic,"28,000",Petrol,1000,Lahore,PKR 33.15 lacs
Toyota Corolla  2020 GLi Automatic 1.3 VVTi ,2004,Automatic,"178,000",Petrol,1300,Lahore,PKR 26 lacs
Toyota Raize  2020 Z ,2015,Automatic,"150,000",Petrol,1800,Lahore,PKR 34 lacs
Audi e-tron  2020 50 Quattro 230 kW ,2015,Manual,"93,000",Petrol,1300,Lahore,PKR 28.1 lacs
Suzuki Cultus  2014 EURO II ,2017,Manual,"67,300",Petrol,1000,Lahore,PKR 19.35 lacs
Honda City 5th Generation 2018 1.3 i-VTEC Prosmatec ,2007,Manual,"432,506",Petrol,800,Lahore,PKR 10 lacs
Toyota Corolla  2011 Altis Cruisetronic 1.6 ,2021,Automatic,"12,000",Petrol,1600,Lahore,PKR 58.5 lacs
Honda Vezel  2016 Hybrid Z ,2007,Manual,"153,000",Petrol,1800,Lahore,PKR 23.5 lacs
Suzuki Alto  2008 GII ,2001,Manual,"90,000",Petrol,1600,Lahore,PKR 13 lacs
Daihatsu Move  2020 L ,2018,Automatic,"23,000",Petrol,2700,Lahore,PKR 3.05 crore
Suzuki Spacia  2020 X ,2017,Manual,"39,500",Petrol,800,Lahore,PKR 13 lacs
Honda Vezel  2018 Hybrid RS Honda Sensing  ,2021,Automatic,"23,800",Petrol,1000,Lahore,PKR 43.5 lacs
Toyota Coro,2017,Automatic,"90,000",Petrol,1500,Lahore,PKR 38.5 lacs
Mercedes Benz C Cl,2006,Manual,"185,423",Petrol,1300,Lahore,PKR 11 lacs
Honda Ci,by,Petrol,PakWheels,2022,"13,141",Managed,PKR 32 lacs
Suzuki Wago,by,Petrol,PakWheels,2020,"4,554",Managed,PKR 42 lacs
Hyundai Tuc,by,Petrol,PakWheels,2019,"37,007",Managed,PKR 32.8 lacs
Toyota Corolla A,2020,Automatic,"42,000",Petrol,658,Lahore,PKR 35.45 lacs
KIA Sport,2019,Automatic,"41,000",Petrol,4608,Lahore,PKR 4.99 crore
Toyota V,2015,Automatic,"97,000",Hybrid,1500,Lahore,PKR 44 lacs
MG,2016,Automatic,"48,565",Petrol,1800,Lahore,PKR 46.5 lacs
Nissan Note  2019 MEDALIST ,2014,Automatic,"103,000",Petrol,1800,Lahore,PKR 37 lacs
Honda Vezel  2016 Hybrid Z ,2015,Automatic,"104,311",Petrol,1600,Lahore,PKR 37 lacs
Honda Vezel  2020 Hybrid RS Honda Sensing  ,2022,Manual,"25,500",Petrol,1000,Lahore,PKR 33 lacs
Honda Vezel  2019 Hybrid Z ,2022,Manual,"26,000",Petrol,1000,Lahore,PKR 16 lacs
Honda Vezel  2018 Hybrid Z Honda Sensing  ,2006,Automatic,"65,000",Petrol,1300,Lahore,PKR 18 lacs
Honda Life  2012 Diva Turbo Cool Select ,2008,Manual,"90,000",Petrol,1000,Lahore,PKR 10.25 lacs
Honda Civic Rebirth 2014 VTi Oriel Prosmatec 1.8 i-VTEC ,2015,Manual,"100,000",Diesel,2500,Lahore,PKR 32 lacs
Toyota Corolla  2022 Altis X Automatic 1.6 Special Edition ,2005,Automatic,"200,000",Petrol,1500,Lahore,PKR 15 lacs
Toyota C-HR  2018 1.2 Turbo ,2007,Automatic,"125,000",Petrol,1500,Lahore,PKR 27.5 lacs
Toyota Fortuner  2014 2.7 VVTi ,2015,Automatic,"171,000",Petrol,1800,Lahore,PKR 39.5 lacs
Toyota Premio  2007 X 1.8 ,2020,Automatic,"98,000",Petrol,1500,Lahore,PKR 42.75 lacs
KIA Sportage  2020 FWD ,2012,Automatic,"104,000",Petrol,1600,Lahore,PKR 25.5 lacs
Honda City 6th Generation 2022 1.2L CVT ,2016,Automatic,"40,000",Petrol,660,Lahore,PKR 34 lacs
Toyota Corolla  2019 GLi Automatic 1.3 VVTi ,2012,Automatic,"118,000",Petrol,1800,Lahore,PKR 29 lacs
MG ZS  2021 1.5L ,2020,Automatic,"50,000",Petrol,1800,Lahore,PKR 60 lacs
Honda City 5th Generation 2018 1.3 i-VTEC Prosmatec ,2013,Automatic,"135,000",Petrol,1800,Lahore,PKR 31 lacs
Honda BR-V  2021 i-VTEC S ,2015,Automatic,"98,752",Petrol,660,Lahore,PKR 20.5 lacs
Honda BR-V  2019 i-VTEC S ,2008,Manual,"132,000",Petrol,1300,Lahore,PKR 18.6 lacs
Honda Civic  2004 VTi Oriel 1.6 ,2013,Manual,"110,000",Petrol,1300,Lahore,PKR 29 lacs
Honda BR-V  2022 i-VTEC S ,2013,Automatic,"136,000",Petrol,1800,Lahore,PKR 32.7 lacs
Suzuki Mehran  2015 VX Euro II Limited Edition ,2020,Automatic,"4,000",Hybrid,660,Lahore,PKR 39.8 lacs
Suzuki Every 11th Generation (JDM) 2018 GA ,1994,Automatic,"150,000",Petrol,3400,Lahore,PKR 22.5 lacs
Suzuki Cultus  2017 VXL ,2016,Automatic,"147,000",Petrol,1600,Lahore,PKR 46 lacs
Suzuki Wagon R  2020 VXL ,2017,Automatic,"86,000",Petrol,1800,Lahore,PKR 44.5 lacs
Honda Vezel  2018 Hybrid Z Honda Sensing  ,2021,Automatic,"14,500",Electric,75.0,Lahore,PKR 1.95 crore
KIA Grand Carnival  2022 GLS+ ,2022,Manual,"30,000",Petrol,660,Lahore,PKR 22.8 lacs
Toyota Corolla  1981  ,2008,Automatic,"258,000",Petrol,1000,Lahore,PKR 22.25 lacs
Suzuki Mehran  2009 VXR ,2012,Automatic,"93,000",Hybrid,1500,Lahore,PKR 34.5 lacs
Toyota Passo  2020 X L Package S  ,2014,Manual,"82,000",Petrol,1100,Lahore,PKR 16.5 lacs
Hyundai Sonata  2023 2.5 ,2019,Automatic,"70,300",Petrol,660,Lahore,PKR 31.75 lacs
Toyota Corolla Axio  2007 X 1.5 ,2020,Automatic,"14,252",Petrol,659,Lahore,PKR 36.75 lacs
Toyota C-HR  2018 G-LED ,2022,Automatic,"4,528",Petrol,659,Lahore,PKR 39.5 lacs
Suzuki Wagon R  2018 VXL ,2019,Automatic,"64,085",Hybrid,660,Lahore,PKR 36.75 lacs
Honda Civic Rebirth 2013 VTi Oriel Prosmatec 1.8 i-VTEC ,2022,Automatic,277,Hybrid,660,Lahore,PKR 38.5 lacs
Toyota Roomy  2020 XS ,2021,Automatic,"15,687",Hybrid,660,Lahore,PKR 39.5 lacs
Suzuki Mehran  2015 VX Euro II ,2018,Automatic,"77,900",Hybrid,1200,Lahore,PKR 72.5 lacs
Toyota C-HR  2018  ,by,Petrol,PakWheels,2021,"102,478",Managed,PKR 43 lacs
Toyota Coro,2020,Automatic,"16,407",Petrol,1000,Lahore,PKR 41.5 lacs
Mercedes Benz C Cl,by,Petrol,PakWheels,2022,"56,478",Managed,PKR 77 lacs
Honda Ci,2017,Automatic,"69,000",Petrol,1500,Lahore,PKR 35.95 lacs
Suzuki Wago,2007,Manual,"285,000",Petrol,1300,Lahore,PKR 13.75 lacs
Hyundai Tuc,2018,Automatic,"87,000",Petrol,1800,Lahore,PKR 53 lacs
Toyota Corolla A,2016,Automatic,"97,500",Petrol,1800,Lahore,PKR 46.5 lacs
KIA Sport,by,Hybrid,PakWheels,2021,"11,563",Managed,PKR 36.35 lacs
Toyota V,2002,Manual,"270,000",Petrol,1300,Lahore,PKR 9.15 lacs
MG,2021,Automatic,"38,000",Petrol,1490,Lahore,PKR 69 lacs
Audi A5  2015 S-Line Competition ,2022,Automatic,"4,060",Petrol,1000,Lahore,PKR 45 lacs
Daihatsu Mira  2019 X ,2016,Automatic,"60,000",Petrol,1500,Lahore,PKR 67 lacs
Toyota Fortuner  2023 Legender  ,2012,Automatic,"145,250",Petrol,1800,Lahore,PKR 24.75 lacs
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior ,2009,Automatic,"83,000",Petrol,1800,Lahore,PKR 32 lacs
Toyota Yaris  2020 GLI MT 1.3 ,2013,Automatic,"124,000",Petrol,1600,Lahore,PKR 29 lacs
Honda City  2020 1.3 i-VTEC ,2015,Automatic,"146,741",Petrol,1000,Lahore,PKR 26.4 lacs
Toyota Land Cruiser  2017 ZX ,2023,Manual,"2,000",Petrol,1600,Lahore,PKR 53 lacs
MG HS  2022 Trophy ,2021,Automatic,"45,000",Petrol,1000,Lahore,PKR 38 lacs
Toyota Land Cruiser  2008 AX G Selection ,1997,Manual,"190,000",Petrol,1300,Lahore,PKR 16.5 lacs
Suzuki Ciaz  2017 Automatic ,2018,Manual,"65,000",Petrol,1000,Lahore,PKR 22.8 lacs
Suzuki Every Wagon  2010 JP ,2022,Automatic,"21,700",Petrol,1800,Lahore,PKR 62 lacs
Suzuki Wagon R  2022 Hybrid FZ ,2015,Automatic,"80,000",Petrol,1800,Lahore,PKR 1.24 crore
Toyota Vitz  2012 F 1.0 ,2016,Automatic,"49,000",Petrol,2700,Lahore,PKR 2.48 crore
KIA Rio  2022 S ,2022,Automatic,"32,000",Diesel,2800,Lahore,PKR 1.31 crore
Suzuki Alto  2019 L ,2017,Automatic,"41,000",Petrol,2700,Lahore,PKR 2.83 crore
Suzuki Alto  2020 L limited 40th anniversary edition ,2022,Automatic,"23,550",Petrol,2500,Lahore,PKR 99.5 lacs
Suzuki Alto  2021 VXL AGS ,2017,Automatic,"48,500",Petrol,2700,Lahore,PKR 2.45 crore
Toyota C-HR  2018 G-LED ,2015,Automatic,"81,500",Petrol,1800,Lahore,PKR 42.95 lacs
Suzuki Mehran  2005 VX ,2019,Automatic,"105,650",Petrol,660,Lahore,PKR 27.5 lacs
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Black Interior ,2021,Automatic,"52,214",Petrol,1500,Lahore,PKR 43.5 lacs
Suzuki Wagon R  2023 Hybrid FZ ,2018,Automatic,"92,633",Hybrid,1500,Lahore,PKR 72.5 lacs
Honda City 6th Generation 2022 1.2L M/T ,2018,Automatic,"78,444",Petrol,1500,Lahore,PKR 79.9 lacs
Suzuki Swift  2022 GLX CVT ,by,Petrol,PakWheels,2014,"69,059",Managed,PKR 39 lacs
Suzuki Wagon R  2022 AGS ,2017,Automatic,"52,000",Hybrid,1198,Lahore,PKR 41.5 lacs
Toyota Corolla  2004 X 1.3 ,2020,Automatic,"51,500",Petrol,1000,Lahore,PKR 41.9 lacs
Honda Civic  2015 VTi Oriel Prosmatec 1.8 i-VTEC ,2022,Automatic,"22,000",Petrol,2000,Lahore,PKR 89 lacs
Honda City 5th Generation 2015 1.3 i-VTEC ,2021,Automatic,"40,000",Petrol,1800,Lahore,PKR 67.5 lacs
Suzuki Wagon R  2017 VXL ,2018,Automatic,"31,000",Diesel,2800,Lahore,PKR 3.1 crore
Suzuki Potohar  2007  ,2022,Automatic,"33,000",Diesel,2800,Lahore,PKR 1.4 crore
Toyota Corolla  2021 Altis 1.6 X CVT-i ,2023,Automatic,10,Petrol,2000,Lahore,PKR 86.5 lacs
Honda Civic  2007 VTi 1.8 i-VTEC ,2015,Automatic,"62,000",Petrol,1600,Lahore,PKR 38 lacs
Honda Civic  2001 VTi Oriel 1.6 ,2013,Automatic,"70,000",Petrol,660,Lahore,PKR 21.9 lacs
Toyota Prado  2018 TX L Package 2.7 ,2015,Automatic,"125,000",Petrol,1300,Lahore,PKR 34.5 lacs
Suzuki Mehran  2017  ,2013,Automatic,"119,000",Petrol,2700,Lahore,PKR 1.83 crore
Toyota Passo  2021 X L Package S  ,2018,Automatic,"110,000",Petrol,1600,Lahore,PKR 46 lacs
Honda BR-V  2017 i-VTEC S ,2019,Automatic,"35,000",Petrol,1500,Lahore,PKR 40.5 lacs
Honda City  2006  ,2019,Automatic,"10,900",Petrol,1600,Lahore,PKR 42 lacs
Toyota Coro,2013,Manual,"97,500",Petrol,1300,Lahore,PKR 24.8 lacs
Mercedes Benz C Cl,2020,Automatic,"61,000",Petrol,1800,Lahore,PKR 89.65 lacs
Honda Ci,2012,Automatic,"110,660",Petrol,1300,Lahore,PKR 32.5 lacs
Suzuki Wago,2017,Automatic,"140,000",Diesel,3000,Lahore,PKR 89.5 lacs
Hyundai Tuc,2022,Manual,"25,500",Petrol,1000,Lahore,PKR 33 lacs
Toyota Corolla A,2023,Automatic,200,Petrol,1200,Lahore,PKR 47 lacs
KIA Sport,2010,Automatic,"191,000",Petrol,1800,Lahore,PKR 27.45 lacs
Toyota V,2018,Manual,"80,000",Petrol,750,Lahore,PKR 10.75 lacs
MG,1998,Manual,"154,000",Petrol,1300,Lahore,PKR 7.4 lacs
Proton Saga  2022 1.3L Ace A/T ,1985,Manual,"200,000",Petrol,800,Lahore,PKR 2.8 lacs
Daihatsu Mira  2020 X ,2022,Automatic,"14,500",Petrol,1500,Lahore,PKR 39.8 lacs
Daihatsu Mira  2019 L ,2006,Manual,"250,000",Petrol,1300,Lahore,PKR 9.3 lacs
Daihatsu Move  2020 X SA 2 ,2006,Manual,"125,000",Petrol,1100,Lahore,PKR 8.5 lacs
Toyota Land Cruiser  2019 ZX ,2003,Automatic,"178,089",Petrol,800,Lahore,PKR 8 lacs
Toyota Aqua  2015 X Urban ,2018,Automatic,"95,000",Petrol,1800,Lahore,PKR 52 lacs
Toyota Corolla  2016 Altis Grande CVT-i 1.8 ,2016,Automatic,"115,000",Petrol,1500,Lahore,PKR 53 lacs
Honda Civic  2014 VTi Oriel Prosmatec 1.8 i-VTEC ,by,Petrol,PakWheels,2018,"37,148",Managed,PKR 3.3 crore
Toyota Corolla  2015 Altis Automatic 1.6 ,by,Petrol,PakWheels,2020,"27,424",Managed,PKR 74 lacs
Suzuki Cultus  2022 VXR ,2019,Automatic,"38,000",Petrol,1400,Lahore,PKR 1.52 crore
Changan M9  2022 Base Model 1.0 ,2021,Automatic,"25,000",Petrol,1490,Lahore,PKR 68.5 lacs
Toyota Belta  2006 X L Package 1.3 ,2022,Automatic,"31,000",Petrol,1200,Lahore,PKR 43.5 lacs
Suzuki Cultus  2008 VXRi ,2020,Automatic,"70,000",Petrol,1300,Lahore,PKR 30.5 lacs
Toyota Hilux  2015 4x2 Single Cab Standard ,by,Petrol,PakWheels,2021,"14,351",Managed,PKR 41 lacs
Honda Civic Eagle Eye 2005 EXi Prosmatec ,2014,Automatic,"65,000",Petrol,1000,Lahore,PKR 27.5 lacs
Toyota Rush  2007 G L Package ,2018,Manual,"96,000",Petrol,1000,Lahore,PKR 19.4 lacs
Honda Civic Rebirth 2015 Oriel Prosmatec UG ,by,Petrol,PakWheels,2016,"93,789",Managed,PKR 1 crore
Honda City 5th Generation 2020 Aspire Prosmatec 1.5 i-VTEC ,by,Petrol,PakWheels,2022,"34,765",Managed,PKR 1.6 crore
Toyota Corolla  2012 GLi Automatic 1.6 VVTi ,by,Petrol,PakWheels,2020,"56,289",Managed,PKR 44 lacs
Daihatsu Copen  2016 X-Play ,by,Diesel,PakWheels,2020,"60,603",Managed,PKR 1.25 crore
Honda Civic  2012 VTi Oriel Prosmatec 1.8 i-VTEC ,by,Petrol,PakWheels,2017,"50,907",Managed,PKR 1.16 crore
Honda Civic  2020 Oriel 1.8 i-VTEC CVT ,2005,Manual,"200,000",Petrol,1600,Lahore,PKR 16 lacs
Honda Civic Rebirth 2013 VTi Oriel Prosmatec 1.8 i-VTEC ,by,Petrol,PakWheels,2021,"78,908",Managed,PKR 42.5 lacs
Suzuki MR Wagon  2015 10TH ANNIVERSARY LIMITED ,2023,Automatic,"12,000",Diesel,2800,Lahore,PKR 1.5 crore
Honda City  2008 i-DSI ,2008,Manual,"150,000",Petrol,800,Lahore,PKR 7.5 lacs
Toyota Corolla  2013 GLi 1.3 VVTi ,1995,Manual,"100,000",Petrol,1500,Lahore,PKR 8.3 lacs
Honda Civic Rebirth 2013 VTi Oriel Prosmatec 1.8 i-VTEC ,2017,Automatic,"60,000",Petrol,1800,Lahore,PKR 49 lacs
Suzuki Wagon R  2020 Hybrid FX ,2008,Manual,"78,000",Petrol,1000,Lahore,PKR 10.25 lacs
Mitsubishi Pajero  1994  ,2013,Manual,"56,310",Petrol,796,Lahore,PKR 10 lacs
Toyota Corolla  2016 Altis 1.6 X CVT-i ,2020,Automatic,"14,000",Petrol,1000,Lahore,PKR 40 lacs
Honda Civic  2017 1.8 i-VTEC CVT ,2010,Automatic,"120,589",Petrol,1000,Lahore,PKR 20.4 lacs
Tesla Model 3  2021 Long Range ,2022,Automatic,"20,000",Petrol,1800,Lahore,PKR 71.5 lacs
Suzuki Alto  2022 VX ,2021,Automatic,"30,000",Petrol,2000,Lahore,PKR 78.5 lacs
Toyota Vitz  2008 F 1.0 ,2016,Automatic,"147,000",Petrol,1800,Lahore,PKR 46 lacs
